Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
BRK.A,Berkshire Hathaway Inc.,Insurance Diversified,430901,185.2692,57.8135,0,17.78,102.638,185.2692
PTR,PetroChina Company Limited,Oil & Gas Integrated,40.92,1.0153,0.1219,0.0222,0.0155,1.4161,1.0153
SNP,China Petroleum & Chemical Corporation,Oil & Gas Integrated,45.38,0.9365,0.2375,0.0377,0.04,2.1721,0.9365
BABA,Alibaba Group Holding Limited,Internet Retail,159.47,6.6158,3.6474,0.0033,1.0226,4.8801,6.6158
FIT,"Fitbit, Inc.",Other,11800,1.8923,2.0136,0,-1.25,5.572,1.8923
AAPL,Apple Inc.,Consumer Electronics,148.6,3.7655,5.2431,0.8115,3.28,15.7993,3.7655
TLK,"PT Telekomunikasi Indonesia, Tbk",Telecom Services,23.38,0.0737,0.0157,0.011,0.0149,0.098,0.0737
MSFT,Microsoft Corporation,Software Infrastructure,299.72,18.8138,17.2696,2.1891,8.05,22.2722,18.8138
GOOG,Alphabet Inc.,Internet Content & Information,2891.01,350.463,215.2661,0,58.61,287.1654,350.463
GOOGL,Alphabet Inc.,Internet Content & Information,2880.0801,350.463,215.2661,0,58.61,287.1654,350.463
AMZN,"Amazon.com, Inc.",Internet Retail,3349.6299,186.808,169.306,0,41.83,772.128,186.808
AMX,"America Movil, S.A.B. de C.V.",Telecom Services,18.84,0.19,0.0687,0.0073,0.0357,0.7712,0.19
FB,"Facebook, Inc.",Internet Content & Information,372.63,44.9982,21.8152,0,10.09,30.1526,44.9982
TSLA,"Tesla, Inc.",Auto Manufacturers,711.92,23.821,21.0311,0,0.64,33.8006,23.821
BRK.B,Berkshire Hathaway Inc.,Insurance Diversified,286.6,185.2692,57.8135,0,17.78,102.638,185.2692
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,118.49,12.6063,5.5084,1.7807,3.39,9.1966,12.6063
NVDA,NVIDIA Corporation,Semiconductors,226.36,6.8448,4.6844,0.16,1.72,6.7565,6.8448
HSBC,HSBC Holdings plc,Banks Diversified,27.15,8.6162,40.4951,0.1003,0.2048,3.3505,8.6162
BP,BP p.l.c.,Oil & Gas Integrated,24.94,3.5183,1.5527,0.3135,-1.0647,9.4941,3.5183
SCR,Score Media and Gaming Inc.,Electronic Gaming & Multimedia,10550,0.6751,0.9274,0,-0.8801,0.4843,0.6751
JPM,JPMorgan Chase & Co.,Banks Diversified,163.05,90.6405,430.5707,4.1175,8.88,37.5921,90.6405
VOD,Vodafone Group PLC,Telecom Services,17.23,2.3177,0.6222,0.1004,0,1.906,2.3177
TM,Toyota Motor Corporation,Auto Manufacturers,173.88,75.5769,16.4714,2.2268,7.2495,87.8801,75.5769
JNJ,Johnson & Johnson,Drug Manufacturers General,172.93,24.0327,9.5651,3.9806,5.51,31.3604,24.0327
V,Visa Inc.,Credit Services,232.69,16.9285,9.8518,1.2454,4.71,10.2132,16.9285
DEO,Diageo plc,Beverages Wineries & Distilleries,192.33,4.087,1.7007,0.9923,1.5787,7.5453,4.087
ZNH,China Southern Airlines Company Limited,Airlines,28.12,0.757,0.2809,0,-0.1122,0.9543,0.757
HDB,HDFC Bank Limited,Banks Regional,77.93,5.2122,3.2326,0.0004,0.7908,2.4365,5.2122
BIDU,"Baidu, Inc.",Internet Content & Information,153.26,10.2261,9.1204,0,1.1879,5.6801,10.2261
WMT,Walmart Inc.,Discount Stores,146.52,28.5853,6.2667,2.3137,4.75,197.5101,28.5853
UNH,UnitedHealth Group Incorporated,Healthcare Plans,418.76,69.0105,20.844,4.8303,16.03,270.96,69.0105
BAC,Bank of America Corporation,Banks Diversified,42.49,31.1806,101.6704,0.8828,1.87,9.9044,31.1806
MA,Mastercard Incorporated,Credit Services,355.73,6.3782,11.1597,1.6018,6.37,15.2705,6.3782
PG,Procter & Gamble Company (The),Household & Personal Products,142.31,18.807,4.1719,3.3508,5.5,30.867,18.807
